Year,Case,Isoprene
0,Present,0
10,Present,6.092
20,Present,4.4459
30,Present,3.9473
40,Present,4.199
50,Present,5.1745
60,Present,6.4813
70,Present,9.0782
80,Present,12.7112
90,Present,22.619
100,Present,27.2817
110,Present,40.5756
120,Present,44.7653
130,Present,56.2365
140,Present,60.1844
150,Present,72.2447
160,Present,79.934
170,Present,95.7902
180,Present,91.878
190,Present,97.0123
200,Present,105.766
210,Present,98.8837
220,Present,102.7361
230,Present,88.2876
240,Present,88.1784
250,Present,101.256
260,Present,91.8735
270,Present,88.2333
280,Present,96.6089
290,Present,87.0609
300,Present,91.4534
310,Present,70.8959
320,Present,75.3621
330,Present,78.7282
340,Present,81.7979
350,Present,90.5595
360,Present,90.9173
370,Present,83.1659
380,Present,71.9922
390,Present,81.728
400,Present,69.9246
410,Present,75.2982
420,Present,71.9407
430,Present,80.8127
440,Present,72.3908
450,Present,85.4629
460,Present,82.3464
470,Present,85.7945
480,Present,84.594
490,Present,79.5776
500,Present,83.7219
0,Pre-blight,0
10,Pre-blight,5.64
20,Pre-blight,4.03
30,Pre-blight,4.02
40,Pre-blight,5.1
50,Pre-blight,6.78
60,Pre-blight,7.85
70,Pre-blight,10.63
80,Pre-blight,12.73
90,Pre-blight,19.15
100,Pre-blight,22.79
110,Pre-blight,32.59
120,Pre-blight,43.27
130,Pre-blight,51.71
140,Pre-blight,67.84
150,Pre-blight,66.96
160,Pre-blight,83.69
170,Pre-blight,78.97
180,Pre-blight,80.39
190,Pre-blight,96.87
200,Pre-blight,100.67
210,Pre-blight,93.17
220,Pre-blight,83.11
230,Pre-blight,89.13
240,Pre-blight,73.18
250,Pre-blight,72.07
260,Pre-blight,66.01
270,Pre-blight,70.32
280,Pre-blight,67.34
290,Pre-blight,66.28
300,Pre-blight,55.26
310,Pre-blight,54.69
320,Pre-blight,48.34
330,Pre-blight,42.16
340,Pre-blight,47.9
350,Pre-blight,59.55
360,Pre-blight,61.16
370,Pre-blight,68.44
380,Pre-blight,57.27
390,Pre-blight,60.25
400,Pre-blight,58.05
410,Pre-blight,58
420,Pre-blight,60.66
430,Pre-blight,53.61
440,Pre-blight,47.34
450,Pre-blight,48.8
460,Pre-blight,47.56
470,Pre-blight,44.8
480,Pre-blight,48.87
490,Pre-blight,44.9
500,Pre-blight,50.26